Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Team Id,Team Name,Custom field (Vulnerability),Comment,Comment,Comment,Status Category,Status Category Changed
При просмотре поста не отображается его описание,NEXT-85,10548,Bug,Done,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,Done,Александр,712020:0db7c5ea-85cf-49eb-b835-adc93169d1f1,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,27/Jan/26 9:03 AM,06/Feb/26 3:35 PM,06/Feb/26 3:35 PM,06/Feb/26 3:35 PM,,0,"# Открыто приложение Inctagram
# Пользователь зарегистрирован в система
# Открыт аккаунт пользователя
# Открыта вкладка My Profile

Шаги воспроизведения: 

# Нажать на публикацию

Ожидаемый результат: 

Система отображает публикацию вместе с описание и комментариями. 

Фактический результат:

Система отображает публикацию только с комментариями. Нет описания поста. Его описание открывается только когда проваливаемся в его редактирование. 

Серьезность: средняя

Приоритет: высокий

Окружение: Google. Windows 10",,Александр,Ирина,712020:0db7c5ea-85cf-49eb-b835-adc93169d1f1,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,03/Feb/26 1:36 PM;ug:44b46f7c-de06-4002-88c0-1635564380bc;Снимок экрана 2026-02-03 в 14.13.05.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10201,03/Feb/26 1:36 PM;ug:44b46f7c-de06-4002-88c0-1635564380bc;Снимок экрана 2026-02-03 в 14.16.36.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10200,27/Jan/26 9:02 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;нет описания к посту.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10130,27/Jan/26 9:02 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;редактирование опис поста_не видно опис.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10131,,,0|i000dr:,Спринт 6,,,,,,,"03/Feb/26 1:36 PM;712020:0db7c5ea-85cf-49eb-b835-adc93169d1f1;!Снимок экрана 2026-02-03 в 14.13.05.png|width=635,alt=""Снимок экрана 2026-02-03 в 14.13.05.png""!

!Снимок экрана 2026-02-03 в 14.16.36.png|width=620,alt=""Снимок экрана 2026-02-03 в 14.16.36.png""!","03/Feb/26 1:37 PM;712020:0db7c5ea-85cf-49eb-b835-adc93169d1f1;Работает, описание поста сверху над комментариями.",,Done,06/Feb/26 3:35 PM
В Current Subscription при покупке доп подписки система не отображает новую подписку вслед за текущей ,NEXT-84,10547,Bug,Done,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,Done,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,27/Jan/26 8:37 AM,06/Feb/26 2:48 PM,06/Feb/26 2:48 PM,06/Feb/26 2:48 PM,,0,"# Открыто приложение Inctagram
# Пользователь зарегистрирован в система
# Открыт аккаунт пользователя
# Открыта вкладка My profile
# *В разделе Current Subscription уже отображена текущая подписка*

Шаги воспроизведения: 

# Нажать на кнопку Profile Settings
# Открыть вкладку ""Account Management""
# В разделе Account Type установить чек-бокс Business
# В разделе Your subscription установить чек-бокс $50 per 7 Days
# Нажать на кнопку Stripe
# Отметить чек-бокс в разделе {{""I}}Agree ""
# Нажать на кнопку Ок

Ожидаемый результат: 

Система в разделе *Current Subscription* отображает новую подписку вслед за текущей.

Фактический результат:

Система в разделе *Current Subscription* отображает только текущую подписку.

Серьезность: средняя

Приоритет: высокий

Окружение: Google. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,,27/Jan/26 8:37 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;покупка доп подписки есть в платежах.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10127,27/Jan/26 8:37 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;покупка доп подписки_нет записи в строке подписок.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10126,,,,,0|i000ej:,Спринт 6,,,,,,,,,,Done,06/Feb/26 2:48 PM
На электронную почту не приходит ссылка для подтверждения регистрации аккаунта. ,NEXT-83,10514,Bug,Done,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,Done,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,22/Jan/26 8:26 AM,27/Jan/26 7:52 AM,27/Jan/26 7:52 AM,27/Jan/26 7:52 AM,,0,"# Открыто приложение Inctagram
# Пользователь не зарегистрирован в системе
# Открыта форма авторизации пользователя
# Все поля формы заполнены валидными данными
# Кнопка ""Sign up"" активирована
# Системой отображено сообщение о том, что отправлена ссылка для подтверждения email пользователя на адрес электронной почты из поля ""Email""
# Поля формы зачищены.

Шаги воспроизведения: 

# Открыть электронную почту из поля ""Email""

Ожидаемый результат: 

В почту пришло сообщение от Inctagram (отправитель Support Team [testuserforquiz@gmail.com|mailto:testuserforquiz@gmail.com])  с ссылкой для подтверждения email. 

Фактический результат:

В почту не пришло сообщение от Inctagram (отправитель Support Team [testuserforquiz@gmail.com|mailto:testuserforquiz@gmail.com])  с ссылкой для подтверждения email.

Серьезность: критическая

Приоритет: высокий

Окружение: Google. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,,22/Jan/26 8:22 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;подтверждение email отправка ссылки 2.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10090,22/Jan/26 8:22 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;подтверждение email отправка ссылки.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10091,,,,,0|i000f1:,Спринт 6,,,,,,,,,,Done,27/Jan/26 7:52 AM
"В поле Username в форме регистрации при вводе дефиса выходит ошибка ""Username can contain only Latin letters, numbers and underscore""",NEXT-82,10481,Bug,Done,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,Done,Владимир,712020:6ea5ace2-47a1-4040-b350-277a983ea3a2,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,22/Jan/26 6:35 AM,27/Jan/26 7:52 AM,27/Jan/26 7:52 AM,27/Jan/26 7:52 AM,,0,"# Открыто приложение Inctagramm
# Открыта форма авторизации пользователя
# Пользователь не зарегистрирован в системе

Шаги воспроизведения: 

# Ввести валидное значение из тестовых данных в поле ""Username""
# Перейти на следующее поле ввода

Ожидаемый результат:

Отсутствует ошибка о некорректных данных в поле Username.

Фактический результат:

Система отображает ошибку “Username can contain only Latin letters, numbers and underscore”. 

Серьезность дефекта: серьезная

Приоритет: высокий

Окружение: Google. Yandex. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,,22/Jan/26 6:35 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;username не допускает ввод дефиса.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10087,,,,,,0|i000cp:,Спринт 6,,,,,,,,,,Done,27/Jan/26 7:52 AM
Нет затирания чек-бокса I agree и дезактивации кнопки ОК при повторном нажатии на Stripe после выхода из Create payment,NEXT-69,10436,Bug,Done,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,Done,Владимир,712020:6ea5ace2-47a1-4040-b350-277a983ea3a2,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,19/Jan/26 3:17 PM,27/Jan/26 7:52 AM,27/Jan/26 7:52 AM,27/Jan/26 7:52 AM,,0,"# Открыто приложение Inctagram
# Пользователь зарегистрирован в система
# Открыт аккаунт пользователя
# Открыта вкладка My profile

Шаги воспроизведения: 

# Нажать на кнопку Profile Settings
# Открыть вкладку ""Account Management""
# В разделе Account Type установить чек-бокс Business
# В разделе Your subscription  установить чек-бокс $10 per 1 Day
# Нажать на кнопку Stripe
# Отметить чек-бокс в разделе {{I }}Agree 
# Закрыть окно Create payment
# В разделе Your subscription  установить чек-бокс $50 per 7 Days
# Нажать на кнопку Stripe

Ожидаемый результат

При повторном нажатии на Stripe после выхода из Create payment открывается окно Create payment, в котором чек-бокс в разделе I Aree не установлен и кнопка ОК неактивна. 

Фактический результат: 

При повторном нажатии на Stripe после выхода из Create payment открывается окно Create payment, в котором чек-бокс в разделе I Aree установлен и кнопка ОК активна. 

Серьезность: средняя

Приоритет: высокий

Окружение: Google. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,,19/Jan/26 3:17 PM;ug:05125d47-9142-4f88-911d-80535b9d9828;чек-бокс I agree не обнуляется.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10085,,,,,,0|i000bx:,Спринт 5,Спринт 6,,,,,,,,,Done,27/Jan/26 7:52 AM
"В поле Password Сonfirmation формы восстановления пароля при вводе несовпадающего пароля отображается текст ошибки, отличный от требований.",NEXT-68,10403,Bug,Done,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,Done,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,13/Jan/26 11:36 AM,15/Jan/26 10:50 AM,15/Jan/26 10:43 AM,15/Jan/26 10:50 AM,,0,"# Открыто приложение Inctagram
# Пользователь зарегистрирован в системе
# Открыта страница Входа в систему
# Поле email страницы входа в систему заполнен валидными данными указанными при регистрации
# Проставлен чек-бокс на reCAPTCHA
# Кнопка ""Send Link"" активирована
# Системой отправлена ссылка для создания нового пароля на адрес электронной почты, указанный при регистрации

Шаги воспроизведения:

# Открыть email из поля ""Email""
# Открыть сообщение от приложения Inctagram
# Нажать на кнопку Create new password
# Ввести в поле Password валидное значение
# Ввести в поле Password confirmation значение отличное от поля Password

Ожидаемый результат: 

Система отображает сообщение об ошибке: “_Passwords must match_“

Фактический результат: 

Система отображает сообщение об ошибке: “_Passwords_ don't _match_“

Серьезность: средняя

Приоритет: средний

Окружение: Google. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,,13/Jan/26 11:36 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;поле password conf текст ошиьки отлич от треб.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10051,,,,,,0|i000bn:,Спринт 5,,,,,,,,,,Done,15/Jan/26 10:50 AM
В поле Password в форме регистрации при вводе пробела не выходит ошибка о некорректности данных.,NEXT-67,10402,Bug,Done,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,Done,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,13/Jan/26 10:24 AM,15/Jan/26 10:42 AM,15/Jan/26 10:42 AM,15/Jan/26 10:42 AM,,0,"Открыто приложение Inctagram. Открыта форма авторизации пользователя. Пользователь не зарегистрирован в системе.

Шаги воспроизведения: 

# В поле Username ввести валидное значение;
# В поле Email ввести валидное значение;
# В поле Password ввести пробел
# Перевести курсор на поле Password Сonfirmation

Ожидаемый результат: 

Под полем Password система отображает ошибку о вводе некорректных данных. 

Фактический результат: 

Под полем Password система не отображает ошибку о вводе некорректных данных. 

Серьезность: средняя 

Приоритет: высокий

Окружение: Google. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,NEXT-65,,13/Jan/26 10:24 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;поле password допуск пробела.jpg.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10049,,,,,,0|i000bn:1,Спринт 5,,,,,,,,,,Done,15/Jan/26 10:42 AM
В поле Password в форме регистрации при вводе одной буквы на латинице выходит ошибка о некорректности данных.,NEXT-66,10401,Bug,Done,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,Done,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,13/Jan/26 10:14 AM,15/Jan/26 10:41 AM,15/Jan/26 10:40 AM,15/Jan/26 10:41 AM,,0,"Открыто приложение Inctagramm. Открыта форма авторизации пользователя. Пользователь не зарегистрирован в системе.

Шаги воспроизведения: 

# В поле Username ввести валидные значения;
# В поле Email ввести валидные значения;
# В поле Password ввести одну заглавную букву на латинице, 4 буквы на кириллице, допустимые спецсимволы и цифры;
# Перевести курсор на поле Password Сonfirmation

Ожидаемый результат:

Система под полем Password не отображает ошибку о некорректности данных, т.к. длина и допустимость символов соответствует требованиям. 

Фактический результат:

Система под полем Password отображает ошибку о некорректности данных. 

Серьезность: средняя

Приоритет: высокий

Окружение: Google. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,,13/Jan/26 10:14 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;поле password более 1 латин буквы.jpg.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10047,,,,,,0|i000bn:2,Спринт 5,,,,,,,,,,Done,15/Jan/26 10:41 AM
В поле Password в форме регистрации при вводе кириллицы не выходит ошибка о некорректности данных.,NEXT-65,10400,Bug,Done,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,Done,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,13/Jan/26 10:00 AM,15/Jan/26 10:40 AM,15/Jan/26 10:39 AM,15/Jan/26 10:40 AM,,0,"Открыто приложение Inctagramm. Открыта форма авторизации пользователя. Пользователь не зарегистрирован в системе.

Шаги воспроизведения:

# В поле Username ввести валидное значение;
# В поле Email ввести валидное значение;
# В поле Password ввести данные - 2 латинские буквы (1 заглавная, 1 строчная), буквы на кириллице, допустимые спецсимволы и цифры;
# Перевести курсор на поле Password Сonfirmation.

Ожидаемый результат:

Под полем Password система отображает ошибку о вводе недопустимых символов.

Фактический результат: 

Под полем Password система не отображает ошибку о вводе недопустимых символов.

Серьезность: major

Приоритет: высокий

Окружение: Google. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,NEXT-67,13/Jan/26 9:59 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;поле password допуск кирил.jpg.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10045,,,,,,0|i000bn:4,Спринт 5,,,,,,,,,,Done,15/Jan/26 10:40 AM
В поле Username в форме регистрации при вводе существующего в системе Username выходит некорректная ошибка.,NEXT-64,10399,Bug,Done,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,Done,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,13/Jan/26 9:30 AM,15/Jan/26 10:39 AM,15/Jan/26 10:28 AM,15/Jan/26 10:39 AM,,0,"Открыто приложение Inctagramm. Открыта форма авторизации пользователя. Пользователь зарегистрирован в системе. 

Шаги:

# Ввести в поле Username данные зарегистрированного пользователя;
# Ввести в поле Email валидное значение;
# Ввести в поле Password валидное значение;
# Ввести в поле Password confirmation валидное значение;
# Нажать на кнопку Sign up.

Ожидаемый результат:

Система под полем Username отображает ошибку _User with this username is already registered_.

Фактический результат:

Система под полем Username отображает ошибку _User with this username is already exist._

Серьезность: незначительная

Приоритет: низкий

Окружение: Google. Winwows 10.",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,,,13/Jan/26 9:30 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;поле username текст ошибки не по треб.jpg.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10043,,,,,,0|i000bn:9,Спринт 5,,,,,,,,,,Done,15/Jan/26 10:39 AM
В поле Username в форме регистрации при вводе пробела не выходит ошибка,NEXT-63,10398,Bug,Done,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,Done,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,13/Jan/26 8:54 AM,15/Jan/26 10:28 AM,15/Jan/26 10:27 AM,15/Jan/26 10:28 AM,,0,"Открыто приложение Inctagramm. Открыта форма регистрации пользователя. Пользователь не зарегистрирован в системе.

Шаги:

# В поле Username ввести пробел
# Перенести курсор в поле Email

Ожидаемый результат:

Под полем Username система отображает ошибку о вводе недопустимого символа.

Фактический результат:

Под полем Username система не отображает ошибку о вводе недопустимого символа.

Серьезность дефекта: средняя

Приоритет дефекта: высокая

Окружение: Google. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,,NEXT-61,,13/Jan/26 8:54 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;поле username допускает пробел.jpg;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10041,,,,,,0|i000bn:i,Спринт 5,,,,,,,,,,Done,15/Jan/26 10:28 AM
В поле Username в форме регистрации при вводе недопустимого символа не выходит ошибка,NEXT-62,10397,Bug,Done,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,Done,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,13/Jan/26 8:51 AM,15/Jan/26 10:26 AM,15/Jan/26 10:05 AM,15/Jan/26 10:26 AM,,0,"Открыто приложение Inctagramm. Открыта форма регистрации пользователя. Пользователь не зарегистрирован в системе. 

Шаги:

# В поле Username ввести допустимый символ <
# Перенести курсор в поле Email

Ожидаемый результат: 

Под полем Username система отображает ошибку о вводе недопустимого символа.

Фактический результат:

Под полем Username система не отображает ошибку о вводе недопустимого символа.

Серьезность дефекта: средняя

Приоритет дефекта: высокая

Окружение: Google. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,NEXT-61,,,13/Jan/26 8:51 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;поле username допуск недостим спецсимвола.jpg;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10039,,,,,,0|i000bm:,Спринт 5,,,,,,,,,,Done,15/Jan/26 10:26 AM
В поле Username в форме регистрации при вводе кириллицы не выходит ошибка,NEXT-61,10396,Bug,Done,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,Done,,,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,13/Jan/26 8:31 AM,15/Jan/26 10:27 AM,15/Jan/26 10:26 AM,15/Jan/26 10:27 AM,,0,"Открыто приложение Inctagramm. Открыта форма регистрации пользователя. Пользователь не зарегистрирован в системе.

Шаги: 

* В поле Username ввести данные на кириллице;
* Перенести курсор в поле Email 

Ожидаемый результат: 

Система под полем Username отображает ошибку о вводе недопустимых символов. 

Фактический результат: 

Система под полем Username не отображает ошибку о вводе недопустимых символов.

Окружение: Google. Windows 10",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,NEXT-62,,,NEXT-63,13/Jan/26 8:29 AM;ug:05125d47-9142-4f88-911d-80535b9d9828;поле username допуск кириллицы.jpg;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10037,,,,,,0|i000bo:,Спринт 5,,,,e5b66423-3406-4465-9b5f-ff5fa9538ed6,Поколение Next,,,,,Done,15/Jan/26 10:27 AM
"В форме регистрации при вводе пароля без спецсимвола отображается ошибка ""Password must contain 0-9, a-z, A-Z, and at least one special character""",NEXT-54,10293,Bug,Done,NEXT,Поколение Next,software,Назар Турченко,712020:10bf32ad-2de2-4899-a11d-d2f0fd0a930f,,Medium,Done,Никита,712020:f35bb203-eccb-46e1-a58c-8215cf04c01e,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,Ирина,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,22/Dec/25 6:02 PM,30/Dec/25 9:56 AM,,30/Dec/25 9:56 AM,22/Dec/25 12:00 AM,0,"Открыто приложение Inctagramm

Открыта форма регистрации пользователя

Пользователь не зарегистрирован в системе

Шаги:

1. в поле Username ввести валидные данные; 

2. в поле Email ввести валидные данные; 

3. в поле Password ввести валидные данные;

Ожидаемый результат: система не отображает сообщение об ошибке, рамка поля окрашена в синий цвет.

Фактический результат: отображается ошибка ""Password must contain 0-9, a-z, A-Z, and at least one special character"", рамка поля окрашена в красный цвет

Окружение: Firefox. Google ",,Ирина,,712020:94470ecf-5f8f-4d96-8464-c0570f5160e7,,,,,,,,,,,NEXT-10,,,22/Dec/25 6:00 PM;ug:05125d47-9142-4f88-911d-80535b9d9828;password спецсимвол может а не должен.png;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10002,22/Dec/25 6:00 PM;ug:05125d47-9142-4f88-911d-80535b9d9828;Требования ТЗ 1.docx;https://nazarproject1404.atlassian.net/rest/api/3/attachment/content/10003,,,,,0|i000ad:w,Спринт 4,,,1.0,e5b66423-3406-4465-9b5f-ff5fa9538ed6,Поколение Next,,,,,Done,30/Dec/25 9:56 AM
